movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
The Matador,2005-12-30,"Comedy,Crime,Thriller",96.0,Richard Shepard,"director,producer,writer",1965,alive,6.7,45407.0,5.154315582210431,10000000,12589255,17300838
Twister,1996-05-10,"Action,Adventure,Thriller",113.0,Jan de Bont,"cinematographer,camera_department,producer",1943,alive,6.4,199600.0,5.61483151069881,88000000,241688385,495700000
Star Wars: The Clone Wars,2008-08-15,"Action,Adventure,Animation",98.0,Dave Filoni,"writer,producer,director",1974,alive,5.9,67576.0,4.695723749038153,8500000,35161554,68695443
Molly,1999-10-22,"Comedy,Drama,Romance",102.0,John Duigan,"writer,director,actor",1949,alive,5.7,3019.0,3.228513665499663,21000000,17396,17396
The Great Raid,2005-08-12,"Action,Drama,War",132.0,John Dahl,"director,art_department,writer",1956,alive,6.6,23355.0,4.752567123338711,60000000,10166502,10597070
The War with Grandpa,2020-08-28,"Comedy,Drama,Family",94.0,Tim Hill,"writer,producer,director",1958,alive,5.6,21845.0,3.984968069011716,38000000,21277892,46819069
Arrival,2016-11-09,"Drama,Mystery,Sci-Fi",116.0,Denis Villeneuve,"director,writer,editor",1967,alive,7.9,703727.0,7.694115228735111,47000000,100546139,202754970
Wordplay,2006-06-16,Documentary,94.0,Patrick Creadon,"cinematographer,camera_department,director",1967,alive,7.4,3711.0,4.343083538056952,500000,3121270,3177636
The Interview,2014-02-06,"Action,Adventure,Comedy",112.0,-,-,-,-,6.5,336694.0,5.954674259097315,44000000,6105175,12342632
Old,2021-07-21,"Drama,Horror,Mystery",108.0,M. Night Shyamalan,"producer,director,writer",1970,alive,5.8,124280.0,4.873904057762453,18000000,48276510,89836797
The Rose,1979-11-07,"Drama,Music,Romance",125.0,Mark Rydell,"director,miscellaneous,actor",1929,alive,6.9,8839.0,4.481315768408448,8500000,29200000,29200000
I Think I Love My Wife,2007-03-16,"Comedy,Drama,Romance",94.0,Chris Rock,"producer,actor,writer",1965,alive,5.5,17209.0,3.8149256955587063,14000000,12559771,13205411
Stepmom,1998-12-25,"Comedy,Drama",125.0,Chris Columbus,"producer,writer,director",1958,alive,6.8,70097.0,5.450455013878413,50000000,91137662,159745279
Identity,2003-04-25,"Mystery,Thriller",90.0,James Mangold,"producer,director,writer",1963,alive,7.3,252710.0,6.549671716744268,28000000,52131264,82119036
A Monster Calls,2016-10-07,"Adventure,Drama,Family",108.0,J.A. Bayona,"director,producer,writer",1975,alive,7.4,89731.0,6.077455360704449,43000000,3740823,46414530
8: The Mormon Proposition,2010-06-18,Documentary,80.0,-,-,-,-,7.1,1254.0,3.5949017670037624,2500000,100280,100280
The Deer Hunter,1978-12-08,"Drama,War",183.0,Michael Cimino,"director,writer,producer",1939,2016,8.1,342620.0,7.463288371375764,15000000,50000000,50065119
The Bourne Ultimatum,2007-08-03,"Action,Mystery,Thriller",115.0,Paul Greengrass,"director,producer,writer",1955,alive,8.0,638658.0,7.736070942505505,130000000,227471070,444043396
Anacondas: The Hunt for the Blood Orchid,2004-08-27,"Action,Adventure,Horror",97.0,Dwight H. Little,"director,writer,producer",1956,alive,4.7,32262.0,3.4581747875538555,25000000,31526393,70326393
Circumstance,2011-08-26,Drama,107.0,Maryam Keshavarz,"producer,director,writer",1975,alive,5.9,7745.0,3.75538898003544,900000,454121,958978
Snow White and the Huntsman,2012-05-30,"Action,Adventure,Drama",127.0,Rupert Sanders,"director,writer,producer",1971,alive,6.1,292619.0,5.517151060037797,170000000,155136755,401021746
Almost Famous,2000-09-15,"Adventure,Comedy,Drama",122.0,Cameron Crowe,"writer,producer,director",1957,alive,7.9,279876.0,7.15818344775222,60000000,32522352,47371191
Snow White and the Seven Dwarfs,1937-12-21,"Adventure,Animation,Family",83.0,-,-,-,-,7.6,202691.0,6.700923271265914,1488000,184925486,184925486
No Good Deed,2014-09-12,"Crime,Drama,Horror",84.0,Sam Miller,"actor,director,producer",1962,alive,5.6,20984.0,3.968399973079431,13200000,52543632,54323210
Peter Rabbit,2018-02-08,"Adventure,Comedy,Crime",95.0,Will Gluck,"producer,writer,miscellaneous",\N,alive,6.6,44204.0,5.0623791773175375,50000000,115234093,346727372
The Call of the Wild,2020-01-03,"Adventure,Drama,Family",100.0,Chris Sanders,"writer,actor,animation_department",1962,alive,6.7,51055.0,5.212108031890001,125000000,62342368,107351191
I Still Believe,2020-03-11,"Biography,Drama,Music",116.0,-,-,-,-,6.4,12407.0,4.306699460660716,12000000,10410004,16703751
Renaissance Man,1994-06-03,"Comedy,Drama",128.0,Penny Marshall,"actress,director,producer",1943,2018,6.2,18290.0,4.3450304164140885,40000000,24172899,24172899
The Devil Wears Prada,2006-06-30,"Comedy,Drama",109.0,David Frankel,"producer,director,writer",1959,alive,6.9,426670.0,6.449462587620194,35000000,124740460,326073155
A Simple Favor,2018-09-12,"Comedy,Crime,Mystery",117.0,Paul Feig,"producer,actor,director",1962,alive,6.8,151929.0,5.837461975945822,20000000,53548586,97628717
Now You See Me,2013-05-31,"Crime,Mystery,Thriller",115.0,Louis Leterrier,"director,producer,actor",1973,alive,7.2,667391.0,6.97259324959803,75000000,117723989,342769200
Swiss Army Man,2016-06-24,"Comedy,Drama,Fantasy",97.0,-,-,-,-,6.9,124560.0,5.824409678918057,3000000,4210454,5837111
The Mummy,1999-05-07,"Action,Adventure,Fantasy",124.0,Stephen Sommers,"producer,writer,director",1962,alive,7.1,435783.0,6.651264461121476,80000000,155385488,416385488
Cars 2,2011-06-23,"Adventure,Animation,Comedy",106.0,-,-,-,-,6.2,195182.0,5.425038061168907,200000000,191450875,560155383
Pet Sematary,1989-04-21,"Fantasy,Horror,Thriller",103.0,Mary Lambert,"director,miscellaneous,writer",1951,alive,6.5,107131.0,5.407033193990785,11500000,57469179,57469850
A Guy Thing,2003-01-17,"Comedy,Romance",101.0,Chris Koch,"director,producer,composer",\N,alive,5.6,17669.0,3.897553637383973,20000000,15543862,17430594
Rise of the Planet of the Apes,2011-08-05,"Action,Drama,Sci-Fi",105.0,Rupert Wyatt,"producer,director,writer",1972,alive,7.6,533695.0,7.24227987302254,93000000,176760185,470986200
The Perfect Man,2005-06-17,"Comedy,Family,Romance",100.0,Mark Rosman,"director,writer,producer",1959,alive,5.4,30994.0,3.976925651381975,10000000,16535005,19535005
Adventureland,2009-04-03,"Comedy,Drama,Romance",107.0,Greg Mottola,"director,producer,writer",1964,alive,6.8,162676.0,5.871656801885229,9800000,16044025,17553055
The Conjuring,2013-07-18,"Horror,Mystery,Thriller",112.0,James Wan,"producer,writer,director",1977,alive,7.5,515477.0,7.126086643473691,20000000,137400141,317071550
Anchorman: The Legend of Ron Burgundy,2004-07-09,Comedy,94.0,Adam McKay,"producer,writer,director",1968,alive,7.1,361957.0,6.554300219320789,25000000,84136909,89476265
Cinderella,2015-03-06,Fantasy,113.0,Kiran Nakti,director,\N,alive,8.6,14.0,1.5380236621350312,95000000,201151353,542351353
Spellbound,1945-10-31,"Film-Noir,Mystery,Romance",111.0,Alfred Hitchcock,"director,producer,writer",1899,1980,7.5,49541.0,5.833578887077046,1500000,7000000,7000000
The Suicide Squad,2021-07-28,"Action,Adventure,Comedy",132.0,James Gunn,"writer,producer,director",1966,alive,7.2,358252.0,6.643020670984955,185000000,55817425,167097737
The Visitor,2008-04-11,Drama,105.0,J.-P. Valkeapää,"director,writer,art_department",1977,alive,6.3,610.0,2.8409575855752545,4000000,9427026,19174817
Doctor Strange,2016-10-24,"Action,Adventure,Fantasy",115.0,Scott Derrickson,"producer,director,writer",1966,alive,7.5,750205.0,7.333156664315835,165000000,232641920,676343174
Soul Survivors,2001-09-07,"Horror,Mystery,Thriller",84.0,Stephen Carpenter,"writer,director,cinematographer",\N,alive,3.9,9184.0,2.486587487196944,14000000,3100650,4288246
The Outsiders,1983-03-25,"Crime,Drama",91.0,Francis Ford Coppola,"producer,director,writer",1939,alive,7.0,88925.0,5.737171304340122,10000000,25697647,25707698
The Indian in the Cupboard,1995-07-14,"Drama,Family,Fantasy",96.0,Frank Oz,"actor,miscellaneous,soundtrack",1944,alive,6.0,29736.0,4.415162337183493,45000000,35627222,35627222
War and Peace,1956-08-21,"Drama,Romance,War",208.0,King Vidor,"director,writer,producer",1894,1982,6.7,10273.0,4.4217146431638685,6000000,12500000,12526685
Kubo and the Two Strings,2016-08-18,"Action,Adventure,Animation",101.0,Travis Knight,"animation_department,producer,director",1973,alive,7.7,131303.0,6.544855489339914,55000000,48023088,77548122
The Purge: Anarchy,2014-07-16,"Action,Horror,Sci-Fi",103.0,James DeMonaco,"writer,producer,director",1969,alive,6.4,154770.0,5.495051148638536,9000000,71562550,111534881
The Man with the Golden Gun,1974-12-20,"Action,Adventure,Thriller",125.0,Guy Hamilton,"director,assistant_director,writer",1922,2016,6.7,107532.0,5.579301438088012,7000000,21000000,97600000
Race to Witch Mountain,2009-03-13,"Action,Adventure,Family",98.0,Andy Fickman,-,\N,alive,5.7,60790.0,4.487696129005691,50000000,67172595,105103784
Coyote Ugly,2000-08-04,"Comedy,Drama,Music",100.0,David McNally,"writer,producer,director",\N,alive,5.7,116742.0,4.7613575336701,45000000,60786269,113916474
Slender Man,2018-05-18,"Horror,Mystery,Thriller",93.0,Sylvain White,"director,writer,producer",\N,alive,3.2,35280.0,2.333483460973462,10000000,30564825,51945949
Gabriela,2001-03-16,"Drama,Romance",93.0,Vincent Jay Miller,"producer,director,writer",1973,alive,4.9,1593.0,2.526405112670434,50000,2335352,2335352
Road to Perdition,2002-07-12,"Crime,Drama,Thriller",117.0,Sam Mendes,"producer,director,miscellaneous",1965,alive,7.7,271862.0,6.957167359113253,80000000,104054514,183354514
The Adventures of Huck Finn,1993-04-02,"Adventure,Comedy,Drama",108.0,Stephen Sommers,"producer,writer,director",1962,alive,6.2,8819.0,4.012282251809217,6500000,24103594,24103594
Teenage Mutant Ninja Turtles III,1993-03-19,"Action,Adventure,Comedy",96.0,Stuart Gillard,"producer,director,writer",1950,alive,4.8,34211.0,3.555273235252593,21000000,42273609,42273609
Strange Wilderness,2008-02-01,"Adventure,Comedy",87.0,Fred Wolf,"writer,actor,director",1964,alive,5.2,22177.0,3.6966820068528823,20000000,6575282,6947084
Jack and Jill,2011-11-11,Comedy,91.0,Dennis Dugan,"actor,director,producer",1946,alive,3.3,86122.0,2.6272090628742744,79000000,74158157,150519217
Joe Dirt,2001-04-11,"Adventure,Comedy,Drama",91.0,Dennie Gordon,"director,producer,writer",1953,alive,6.0,57939.0,4.709624135623405,16000000,27087695,30987695
The Kids Are All Right,2010-07-09,"Comedy,Drama,Romance",106.0,Lisa Cholodenko,"director,producer,writer",1964,alive,7.0,131584.0,5.938985205931454,4000000,20811365,36275469
Jem and the Holograms,2015-10-22,"Adventure,Drama,Family",118.0,Jon M. Chu,"producer,writer,director",1979,alive,4.1,8032.0,2.5804342594717644,5000000,2184640,2368937
Namastey London,2007-03-23,"Comedy,Drama,Romance",128.0,Vipul Amrutlal Shah,"producer,director,writer",1973,alive,7.1,22227.0,5.096737417015161,8400000,1207007,6831069
Orphan,2009-07-24,"Horror,Mystery,Thriller",123.0,Jaume Collet-Serra,"director,producer",1974,alive,7.0,234803.0,6.237237316485272,20000000,41596251,78769428
Fuel,2008-11-14,"Drama,Romance,War",87.0,Michael P. Nash,"producer,director,writer",\N,alive,8.6,60.0,2.458850600535027,2500000,174255,174255
Dragon Ball Super: Broly,2018-12-14,"Action,Adventure,Animation",100.0,Tatsuya Nagamine,"director,assistant_director,animation_department",\N,alive,7.7,28651.0,5.682418610640366,8500000,30376755,122747755
Trouble with the Curve,2012-09-21,"Drama,Sport",111.0,Robert Lorenz,"assistant_director,producer,director",\N,alive,6.8,65381.0,5.415609226427193,60000000,35763137,47818913
Tusk,2014-09-19,"Comedy,Horror",102.0,Kevin Smith,"producer,actor,writer",1970,alive,5.3,56606.0,4.135711619683021,3000000,1821983,1887554
Collateral,2004-08-06,"Action,Crime,Drama",120.0,Michael Mann,"producer,writer,director",1943,alive,7.5,410076.0,6.999859269292076,60000000,100170152,217602967
Jackass: The Movie,2002-10-25,"Action,Comedy,Documentary",85.0,Jeff Tremaine,"writer,producer,director",1966,alive,6.6,97091.0,5.444462047905993,2000000,64282312,79282312
Underworld,2003-09-19,"Action,Fantasy,Thriller",121.0,Len Wiseman,"producer,writer,director",1973,alive,7.0,273583.0,6.315963207181938,22000000,51970690,95708457
Independence Day: Resurgence,2016-06-22,"Action,Adventure,Sci-Fi",120.0,Roland Emmerich,"writer,producer,director",1955,alive,5.2,181742.0,4.50147352619371,165000000,103144286,384169424
50 to 1,2014-03-21,Drama,110.0,Jim Wilson,"producer,director,actor",\N,alive,6.3,2095.0,3.412875521088172,10000000,1069454,1069454
Halloween Ends,2022-10-12,"Horror,Thriller",111.0,David Gordon Green,"producer,director,writer",1975,alive,5.0,55166.0,3.884673247316568,20000000,64079860,105016358
Can't Hardly Wait,1998-06-12,"Comedy,Romance",100.0,-,-,-,-,6.5,51436.0,5.056143147978815,10000000,25358996,25358996
Pitch Perfect 2,2015-05-07,"Comedy,Music",115.0,Elizabeth Banks,"actress,producer,director",1974,alive,6.4,160098.0,5.510988566581658,29000000,184296230,287215196
Valkyrie,2008-12-25,"Drama,History,Thriller",121.0,Bryan Singer,"producer,director,actor",1965,alive,7.1,247826.0,6.356422232714215,90000000,83107829,203932174
Deadpool 2,2018-05-11,"Action,Adventure,Comedy",119.0,David Leitch,"stunts,producer,actor",\N,alive,7.7,590051.0,7.396178251643114,110000000,324591735,786362370
The Town,2010-09-17,"Crime,Drama,Thriller",125.0,Ben Affleck,"producer,actor,writer",1972,alive,7.5,395754.0,6.980242473250441,37000000,92186262,152566881
Aliens,1986-07-18,"Action,Adventure,Sci-Fi",137.0,James Cameron,"writer,producer,director",1954,alive,8.4,723110.0,8.206220574167801,17000000,85160248,183294899
Incarnate,2016-12-02,"Horror,Thriller",87.0,Brad Peyton,"writer,producer,director",1978,alive,5.3,13443.0,3.5751003346146835,5000000,4799774,9371036
Hud,1963-05-29,"Drama,Western",112.0,Martin Ritt,"director,producer,actor",1914,1990,7.8,22473.0,5.618546527281506,2500000,10000000,10000000
School of Rock,2003-10-03,"Comedy,Music",109.0,Richard Linklater,"producer,director,writer",1960,alive,7.2,311029.0,6.568141561234148,20000000,81261177,131944672
Martian Child,2007-11-02,"Comedy,Drama,Family",106.0,Menno Meyjes,"writer,director,producer",1954,alive,6.7,20609.0,4.764912955576309,27000000,7500310,9352089
King Kong,1933-04-07,"Adventure,Horror,Sci-Fi",100.0,-,-,-,-,7.9,86815.0,6.477799124228113,672000,10000000,10001781
The Lost Boys,1987-07-31,"Comedy,Horror",97.0,Joel Schumacher,"director,writer,producer",1939,2020,7.2,147317.0,6.172266638499444,8500000,32222567,32393651
The Revenant,2015-12-25,"Action,Adventure,Drama",156.0,Alejandro G. Iñárritu,"producer,director,writer",1963,alive,8.0,812869.0,7.878041959566026,135000000,183637894,532938302
Seed of Chucky,2004-11-12,"Comedy,Horror,Thriller",87.0,Don Mancini,"writer,producer,director",1963,alive,4.9,46763.0,3.744765976139367,29000000,17016190,24716190
Basic,2003-03-28,"Action,Crime,Drama",98.0,John McTiernan,"director,producer,writer",1951,alive,6.4,63881.0,5.078360331118475,50000000,26599248,42598498
Deception,2008-04-25,"Crime,Drama,Mystery",107.0,Marcel Langenegger,"director,actor,producer",\N,alive,6.0,39956.0,4.545575852241545,25000000,4598506,12850033
Rent,2005-11-23,"Drama,Musical,Romance",135.0,Chris Columbus,"producer,writer,director",1958,alive,6.8,54178.0,5.321572448205545,40000000,29077547,31670620
Without a Paddle,2004-08-20,"Adventure,Comedy,Mystery",95.0,Steven Brill,"writer,actor,producer",1962,alive,5.8,48978.0,4.476542465807614,30000000,58156435,65121280
The Other Guys,2010-08-06,"Action,Comedy,Crime",107.0,Adam McKay,"producer,writer,director",1968,alive,6.6,273327.0,5.947063345753465,100000000,119219978,170936470
And So It Goes,2014-07-10,"Comedy,Drama,Romance",94.0,Rob Reiner,"actor,writer,producer",1947,alive,5.8,14444.0,3.955459032941112,18000000,15160801,17920013
Hoffa,1992-12-25,"Biography,Crime,Drama",140.0,Danny DeVito,"actor,producer,director",1944,alive,6.6,23771.0,4.761140438899135,35000000,23365858,28391473
Friday Night Lights,2004-10-08,"Action,Drama,Sport",118.0,Peter Berg,"producer,actor,writer",1964,alive,7.2,64253.0,5.732709888566366,30000000,61255921,61950770
Blood Work,2002-08-09,"Action,Crime,Drama",110.0,Clint Eastwood,"actor,producer,director",1930,alive,6.4,45930.0,4.923015175267683,50000000,26199517,26199517
Cop Out,2010-02-26,"Action,Comedy,Crime",107.0,Kevin Smith,"producer,actor,writer",1970,alive,5.5,88833.0,4.479109535378655,37000000,44875481,55909910
Old Dogs,2009-11-25,"Comedy,Family",88.0,Walt Becker,"director,producer,writer",1968,alive,5.3,38493.0,3.985332620502536,35000000,49492060,95104304
Wall Street,1987-12-11,"Crime,Drama",126.0,Oliver Stone,"director,producer,writer",1946,alive,7.3,158082.0,6.297703531140248,16500000,43848100,43848100
30 Minutes or Less,2011-08-12,"Action,Comedy,Crime",83.0,Ruben Fleischer,"producer,director,writer",1974,alive,6.1,102873.0,5.047977758656359,28000000,37053924,41146935
"I, Frankenstein",2014-01-24,"Action,Fantasy,Sci-Fi",92.0,Stuart Beattie,"writer,director,producer",\N,alive,5.1,82001.0,4.113739878848093,65000000,19075290,74575290
Blood Diamond,2006-12-08,"Adventure,Drama,Thriller",143.0,Edward Zwick,"producer,writer,director",1952,alive,8.0,555693.0,7.654165309846462,100000000,57377916,171377916
Eighth Grade,2018-07-13,"Comedy,Drama",93.0,Bo Burnham,"actor,writer,soundtrack",1990,alive,7.4,77376.0,5.99679988040763,2000000,13539710,14348020
District 9,2009-08-14,"Action,Sci-Fi,Thriller",112.0,Neill Blomkamp,"director,writer,visual_effects",1979,alive,7.9,687341.0,7.680421156616565,30000000,115646235,212453431
"Definitely, Maybe",2008-02-14,"Comedy,Drama,Romance",112.0,Adam Brooks,"writer,producer,director",1956,alive,7.1,167865.0,6.1529190834597856,7000000,32241649,55617866
Sultan,2016-07-01,"Action,Drama,Sport",170.0,Ali Abbas Zafar,"director,writer,producer",1982,alive,7.0,47712.0,5.416510969479855,11000000,5599781,72989781
King Kong Lives,1986-12-19,"Action,Adventure",105.0,John Guillermin,"director,writer,producer",1925,2015,3.9,6284.0,2.37770525564909,10000000,4711220,4711220
Middle Men,2010-08-06,"Action,Comedy,Crime",82.0,Matt Marshall,"director,actor,writer",\N,alive,5.8,56.0,1.5859318492438317,20000000,754301,754301
Playback,2012-03-16,"Horror,Thriller",98.0,Michael A. Nickles,"actor,writer,director",1968,alive,4.2,5004.0,2.5003621726517795,1500000,264,54945
Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,"Adventure,Family,Fantasy",134.0,David Yates,"director,producer,writer",1963,alive,6.5,287829.0,5.879682716833985,200000000,159555901,648455339
Diary of a Wimpy Kid: The Long Haul,2017-05-19,"Adventure,Comedy,Family",91.0,David Bowers,"animation_department,director,writer",\N,alive,4.3,9658.0,2.771064082759376,22000000,20738724,35609577
The Good Thief,2003-04-02,\N,118.0,R.T. Herwig,"director,writer,producer",\N,alive,5.3,53.0,1.4163785771112094,30000000,3517797,6460758
Charly,2002-09-27,"Comedy,Drama,Romance",103.0,Adam Thomas Anderegg,"director,producer,writer",\N,alive,6.4,1058.0,3.147447638813464,950000,814666,814666
Tim and Eric's Billion Dollar Movie,2012-03-02,Comedy,93.0,-,-,-,-,5.3,10295.0,3.471062132207817,3000000,201436,223652
Jennifer's Body,2009-09-18,"Comedy,Horror",102.0,Karyn Kusama,"director,producer,writer",1968,alive,5.4,138440.0,4.571550336815308,16000000,16204793,31943401
22 Jump Street,2014-06-05,"Action,Comedy,Crime",112.0,-,-,-,-,7.0,382798.0,6.48896156222531,50000000,191719337,331333876
War for the Planet of the Apes,2017-07-14,"Action,Adventure,Drama",140.0,Matt Reeves,"producer,writer,director",1966,alive,7.4,261392.0,6.65959007961617,152000000,146880162,489592267
Vice,2018-12-21,"Biography,Comedy,Drama",132.0,Adam McKay,"producer,writer,director",1968,alive,7.2,150683.0,6.184234309888971,60000000,47836282,70893782
The Sentinel,2006-04-21,"Action,Crime,Thriller",108.0,Clark Johnson,"actor,director,producer",1954,alive,6.1,50183.0,4.72581482919732,60000000,36280697,78080697
Jay and Silent Bob Strike Back,2001-08-24,Comedy,104.0,Kevin Smith,"producer,actor,writer",1970,alive,6.8,156785.0,5.853202816844699,22000000,30059386,33762400
Ishtar,1987-05-15,"Action,Adventure,Comedy",107.0,Elaine May,"actress,writer,director",1932,alive,4.6,11391.0,3.0294475140204877,40000000,14375181,14375181
About Schmidt,2002-12-13,Drama,125.0,Alexander Payne,"producer,director,writer",1961,alive,7.2,129788.0,6.105156767585203,30000000,65005217,107054484
Little Women,1994-12-21,"Drama,Family,Romance",115.0,Gillian Armstrong,"director,producer,writer",1950,alive,7.3,60241.0,5.779532284307268,15000000,50003303,50003303
Letters to God,2010-04-09,Drama,110.0,-,-,-,-,6.1,5066.0,3.69664187116876,3000000,2848587,3237452
The Fast and the Furious: Tokyo Drift,2006-06-15,"Action,Crime,Thriller",104.0,Justin Lin,"producer,director,writer",1971,alive,6.0,276135.0,5.398948844658168,85000000,62615510,157794205
Dear White People,2014-10-17,"Comedy,Drama,Romance",108.0,Justin Simien,"writer,producer,director",\N,alive,6.1,25952.0,4.42985836436964,1250000,4404154,5403771
Igor,2008-09-19,"Animation,Comedy,Family",87.0,Tony Leondis,"director,writer,actor",1967,alive,5.9,23704.0,4.240963902690008,22000000,19528602,31013349
The Photograph,2020-02-14,"Drama,Romance",106.0,Stella Meghie,"director,producer,writer",\N,alive,6.1,5753.0,3.753716754410626,15000000,20578185,20704381
Lucy,2014-07-25,"Action,Sci-Fi,Thriller",89.0,Luc Besson,"writer,producer,director",1959,alive,6.4,503010.0,6.050063968674666,40000000,126573960,457507776
Snow Flower and the Secret Fan,2011-07-15,"Drama,History",104.0,Wayne Wang,"director,producer,writer",1949,alive,6.1,3855.0,3.574036231687016,6000000,1348205,11348205
The Amityville Horror,2005-04-15,Horror,90.0,Andrew Douglas,"director,producer,cinematographer",\N,alive,5.9,113614.0,4.921258476092307,18500000,65233369,109175673
Foxcatcher,2014-11-14,"Biography,Drama,History",134.0,Bennett Miller,"director,producer,cinematographer",1966,alive,7.0,144324.0,5.986581479992017,24000000,12096300,19303058
Aquaman,2018-12-06,"Action,Adventure,Fantasy",143.0,James Wan,"producer,writer,director",1977,alive,6.8,480429.0,6.413452704726316,160000000,335061807,1143758700
Cloverfield,2008-01-18,"Action,Adventure,Horror",85.0,Matt Reeves,"producer,writer,director",1966,alive,7.0,403667.0,6.516300591028461,25000000,80048433,171302226
Fantasy Island,2020-02-12,"Fantasy,Horror,Mystery",109.0,Jeff Wadlow,"producer,writer,director",1976,alive,4.9,53935.0,3.7962073222133306,7000000,26441782,48518957
The End of the Affair,1999-12-03,"Drama,Romance",102.0,Neil Jordan,"writer,producer,director",1950,alive,7.0,23193.0,5.045006243376211,23000000,10660147,10660147
Sparkle,2012-08-17,"Drama,Music",116.0,Salim Akil,"producer,director,writer",1964,alive,5.7,6474.0,3.548443975182729,10000000,24397469,24660323
Howard the Duck,1986-08-01,"Action,Adventure,Comedy",110.0,Willard Huyck,"writer,director,actor",1945,alive,4.7,48160.0,3.596716846662595,30000000,16295774,16295774
Flash of Genius,2008-10-03,"Biography,Drama",119.0,Marc Abraham,"producer,writer,director",\N,alive,7.0,17351.0,4.895545601401967,20000000,4442377,4504111
John Carter,2012-03-07,"Action,Adventure,Sci-Fi",132.0,Andrew Stanton,"writer,actor,producer",1965,alive,6.6,275965.0,5.951727572261911,263700000,73058679,282778100
Pandorum,2009-09-25,"Action,Horror,Mystery",108.0,Christian Alvart,"writer,director,producer",1974,alive,6.7,153391.0,5.754399255201951,40000000,10330853,17033431
Little Man,2006-07-14,"Comedy,Crime",98.0,Keenen Ivory Wayans,"writer,producer,actor",1958,alive,4.4,56269.0,3.409101864330708,64000000,58636047,101636047
Rocketman,2019-05-22,"Adventure,Comedy,Documentary",94.0,-,-,-,-,6.2,213.0,2.313808199367898,41000000,96368160,192133784
The Long Riders,1980-05-16,"Biography,Crime,Western",100.0,Walter Hill,"producer,writer,director",1942,alive,6.9,11813.0,4.628553180211535,10000000,15198912,15198912
The Shallows,2016-06-23,"Action,Drama,Horror",86.0,Jaume Collet-Serra,"director,producer",1974,alive,6.3,135628.0,5.345934833635243,13000000,55121623,118763442
Dear John,2010-02-05,"Drama,Mystery,Romance",108.0,Lasse Hallström,"director,writer,cinematographer",1946,alive,6.3,151393.0,5.396905346691975,25000000,80014842,142033509
Denial,2016-09-30,Documentary,93.0,-,-,-,-,7.0,33.0,1.668962312205082,10000000,4073448,9263940
Vanilla Sky,2001-12-14,"Fantasy,Mystery,Romance",136.0,Cameron Crowe,"writer,producer,director",1957,alive,6.9,271733.0,6.220407321124235,70000000,100614858,202726605
The Pirate,1948-05-20,"Adventure,Comedy,Musical",102.0,Vincente Minnelli,"director,miscellaneous,music_department",1903,1986,6.9,5220.0,4.213938950648823,3700000,2956000,2956000
Kites,2010-05-21,"Action,Drama,Romance",123.0,Anurag Basu,"director,writer,producer",1974,alive,6.0,13368.0,4.0622249606105125,9200000,1685269,17155193
Venom,2018-10-02,"Action,Adventure,Sci-Fi",112.0,Ruben Fleischer,"producer,director,writer",1974,alive,6.6,492242.0,6.232740031866229,116000000,213511408,856081053
Sunshine,2007-04-12,"Sci-Fi,Thriller",107.0,Danny Boyle,"director,producer,actor",1956,alive,7.2,253690.0,6.460194653110727,40000000,3688560,32030610
Quigley Down Under,1990-10-19,"Action,Adventure,Drama",119.0,Simon Wincer,"director,assistant_director,producer",1943,alive,6.9,22808.0,4.962553518505314,20000000,21413105,21413105
Rock the Kasbah,2015-10-23,"Comedy,Music,War",106.0,Barry Levinson,"producer,writer,director",1942,alive,5.5,12369.0,3.6812901144957646,15000000,3020665,3386153
Gallipoli,1981-08-13,"Adventure,Drama,History",110.0,Peter Weir,"director,writer,producer",1944,alive,7.4,40303.0,5.641678229998934,3000000,5732587,5732587
Bad Teacher,2011-06-24,"Comedy,Romance",92.0,Jake Kasdan,"producer,director,actor",1974,alive,5.6,205544.0,4.908589605815791,19000000,100292856,215448997
Time Changer,2002-10-25,"Drama,Fantasy,Sci-Fi",95.0,Rich Christiano,"producer,writer,director",1956,alive,5.1,2618.0,2.8213170736227946,825000,1500711,1500711
Thor,2011-04-29,"Action,Fantasy",115.0,Kenneth Branagh,"actor,producer,director",1960,alive,7.0,855896.0,6.9033725674368975,150000000,181030624,449326618
Sherlock Holmes,2009-12-25,"Action,Adventure,Mystery",128.0,Guy Ritchie,"writer,director,producer",1968,alive,7.6,640210.0,7.344033141486012,90000000,209028679,498438212
The Last Temptation of Christ,1988-08-12,Drama,164.0,Martin Scorsese,"producer,director,actor",1942,alive,7.5,58704.0,5.927225597317928,7000000,8373585,8373585
Daylight,1996-12-06,"Action,Adventure,Drama",114.0,Rob Cohen,"producer,director,actor",1949,alive,5.9,74043.0,4.735396867347757,80000000,32908290,158908290
Escape from Tomorrow,2013-10-11,"Drama,Fantasy,Horror",90.0,Randy Moore,"director,writer",\N,alive,5.1,9814.0,3.317149681337998,650000,171962,171962
Eyes Wide Shut,1999-07-16,"Drama,Mystery,Thriller",159.0,Stanley Kubrick,"director,writer,producer",1928,1999,7.5,347701.0,6.9088103107296615,65000000,55691208,104264617
